TOKEN,REGEX,PROGRAM,CLASS_DECLARATION,CLASS_BODY,METHOD_DECLARATION,FORMAL_PARAMETERS,BLOCK,METHOD_INVOCATION,LEAVES
public,camel_case,B-PROGRAM,B-CLASS_DECLARATION,O-KEYWORD,O-KEYWORD,O-KEYWORD,O-KEYWORD,O-KEYWORD,O-KEYWORD
class,camel_case,I-PROGRAM,I-CLASS_DECLARATION,O-KEYWORD,O-KEYWORD,O-KEYWORD,O-KEYWORD,O-KEYWORD,O-KEYWORD
HelloWorld,pascal_case,I-PROGRAM,I-CLASS_DECLARATION,O-IDENT,O-IDENT,O-IDENT,O-IDENT,O-IDENT,O-IDENT
{,O,I-PROGRAM,I-CLASS_DECLARATION,B-CLASS_BODY,O-LBRACE,O-LBRACE,O-LBRACE,O-LBRACE,O-LBRACE
public,camel_case,I-PROGRAM,I-CLASS_DECLARATION,I-CLASS_BODY,B-METHOD_DECLARATION,O-KEYWORD,O-KEYWORD,O-KEYWORD,O-KEYWORD
static,camel_case,I-PROGRAM,I-CLASS_DECLARATION,I-CLASS_BODY,I-METHOD_DECLARATION,O-KEYWORD,O-KEYWORD,O-KEYWORD,O-KEYWORD
void,camel_case,I-PROGRAM,I-CLASS_DECLARATION,I-CLASS_BODY,I-METHOD_DECLARATION,O-VOID_TYPE,O-VOID_TYPE,O-VOID_TYPE,O-VOID_TYPE
main,camel_case,I-PROGRAM,I-CLASS_DECLARATION,I-CLASS_BODY,I-METHOD_DECLARATION,O-IDENT,O-IDENT,O-IDENT,O-IDENT
(,O,I-PROGRAM,I-CLASS_DECLARATION,I-CLASS_BODY,I-METHOD_DECLARATION,B-FORMAL_PARAMETERS,O-LPAR,O-LPAR,O-LPAR
String,pascal_case,I-PROGRAM,I-CLASS_DECLARATION,I-CLASS_BODY,I-METHOD_DECLARATION,I-FORMAL_PARAMETERS,O-TYPE_IDENTIFIER,O-TYPE_IDENTIFIER,O-TYPE_IDENTIFIER
[,O,I-PROGRAM,I-CLASS_DECLARATION,I-CLASS_BODY,I-METHOD_DECLARATION,I-FORMAL_PARAMETERS,O-LSQB,O-LSQB,O-LSQB
],O,I-PROGRAM,I-CLASS_DECLARATION,I-CLASS_BODY,I-METHOD_DECLARATION,I-FORMAL_PARAMETERS,O-RSQB,O-RSQB,O-RSQB
args,camel_case,I-PROGRAM,I-CLASS_DECLARATION,I-CLASS_BODY,I-METHOD_DECLARATION,I-FORMAL_PARAMETERS,O-IDENT,O-IDENT,O-IDENT
),O,I-PROGRAM,I-CLASS_DECLARATION,I-CLASS_BODY,I-METHOD_DECLARATION,O-FORMAL_PARAMETERS,O-RPAR,O-RPAR,O-RPAR
{,O,I-PROGRAM,I-CLASS_DECLARATION,I-CLASS_BODY,I-METHOD_DECLARATION,O-LBRACE,B-BLOCK,O-LBRACE,O-LBRACE
System,pascal_case,I-PROGRAM,I-CLASS_DECLARATION,I-CLASS_BODY,I-METHOD_DECLARATION,O-IDENT,I-BLOCK,B-METHOD_INVOCATION,O-IDENT
.,O,I-PROGRAM,I-CLASS_DECLARATION,I-CLASS_BODY,I-METHOD_DECLARATION,O-DOT,I-BLOCK,I-METHOD_INVOCATION,O-DOT
out,camel_case,I-PROGRAM,I-CLASS_DECLARATION,I-CLASS_BODY,I-METHOD_DECLARATION,O-IDENT,I-BLOCK,I-METHOD_INVOCATION,O-IDENT
.,O,I-PROGRAM,I-CLASS_DECLARATION,I-CLASS_BODY,I-METHOD_DECLARATION,O-DOT,I-BLOCK,I-METHOD_INVOCATION,O-DOT
println,camel_case,I-PROGRAM,I-CLASS_DECLARATION,I-CLASS_BODY,I-METHOD_DECLARATION,O-IDENT,I-BLOCK,I-METHOD_INVOCATION,O-IDENT
(,O,I-PROGRAM,I-CLASS_DECLARATION,I-CLASS_BODY,I-METHOD_DECLARATION,O-LPAR,I-BLOCK,I-METHOD_INVOCATION,O-LPAR
"""",O,I-PROGRAM,I-CLASS_DECLARATION,I-CLASS_BODY,I-METHOD_DECLARATION,O-DQUOTES,I-BLOCK,I-METHOD_INVOCATION,O-DQUOTES
"Hello, World!",O,I-PROGRAM,I-CLASS_DECLARATION,I-CLASS_BODY,I-METHOD_DECLARATION,O-STRING,I-BLOCK,I-METHOD_INVOCATION,O-STRING
"""",O,I-PROGRAM,I-CLASS_DECLARATION,I-CLASS_BODY,I-METHOD_DECLARATION,O-DQUOTES,I-BLOCK,I-METHOD_INVOCATION,O-DQUOTES
),O,I-PROGRAM,I-CLASS_DECLARATION,I-CLASS_BODY,I-METHOD_DECLARATION,O-RPAR,I-BLOCK,O-METHOD_INVOCATION,O-RPAR
;,O,I-PROGRAM,I-CLASS_DECLARATION,I-CLASS_BODY,I-METHOD_DECLARATION,O-SEMI,I-BLOCK,O-SEMI,O-SEMI
},O,I-PROGRAM,I-CLASS_DECLARATION,I-CLASS_BODY,O-METHOD_DECLARATION,O-RBRACE,O-BLOCK,O-RBRACE,O-RBRACE
},O,O-PROGRAM,O-CLASS_DECLARATION,O-CLASS_BODY,O-RBRACE,O-RBRACE,O-RBRACE,O-RBRACE,O-RBRACE
